buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2010,226.53,집합,제1종근린생활, , , ,"36,000",10,1,2017, , ,4,3*,일반상업, ,48121,창원시 의창구, , ,봉곡동,창원시 의창구,경상남도
 ,45.67,집합,제1종근린생활, , , ,"18,000",11,1,2017, , ,1,3**,제1종일반주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
1800,19.83,일반,제2종근린생활, , , ,"10,000",13,1,2017, , , ,1***,자연녹지,241,48121,창원시 의창구, , ,북면 월백리,창원시 의창구,경상남도
2004,40.0,집합,제1종근린생활, , , ,"24,500",23,1,2017, , ,1,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
2002,43.0,집합,제1종근린생활, , , ,"37,000",26,1,2017, , ,1,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
2002,43.0,집합,제1종근린생활, , , ,"5,000",26,1,2017, , ,2,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
1990,106.7,집합,제1종근린생활, , , ,"6,900",2,1,2017, , ,4,3*,일반상업, ,48121,창원시 의창구, , ,봉곡동,창원시 의창구,경상남도
1990,101.04,집합,제1종근린생활, , , ,"6,100",2,1,2017, , ,4,3*,일반상업, ,48121,창원시 의창구, , ,봉곡동,창원시 의창구,경상남도
1993,15.6,집합,제1종근린생활, , , ,983,6,1,2017, , , ,6*,준주거, ,48121,창원시 의창구, , ,봉곡동,창원시 의창구,경상남도
1993,15.34,집합,제1종근린생활, , , ,967,6,1,2017, , , ,6*,준주거, ,48121,창원시 의창구, , ,봉곡동,창원시 의창구,경상남도
2002,34.92,집합,제1종근린생활, , , ,"2,100",17,1,2017, , ,4,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
2002,34.92,집합,제1종근린생활, , , ,"2,100",17,1,2017, , ,4,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
1998,95.48,집합,제2종근린생활, , , ,"20,000",31,1,2017, , ,1,4**,제1종일반주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
2002,27.0,집합,제1종근린생활, , , ,"3,500",10,1,2017, , ,2,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
2010,61.46,집합,제2종근린생활, , , ,"28,500",13,1,2017, , ,1,2*,제2종일반주거, ,48121,창원시 의창구, , ,명서동,창원시 의창구,경상남도
2004,52.5,집합,제1종근린생활, , , ,"10,000",12,1,2017, , ,2,3*,일반상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
 ,33.6,집합,제1종근린생활, , , ,"5,000",3,1,2017, , ,8,3*,일반상업, ,48121,창원시 의창구, , ,봉곡동,창원시 의창구,경상남도
2017,147.23,집합,제2종근린생활, , , ,"43,579",28,2,2017, , ,7,7**,준주거, ,48121,창원시 의창구, , ,봉림동,창원시 의창구,경상남도
1993,20.67,집합,제1종근린생활, , , ,"3,500",28,2,2017, , , ,4**,제1종일반주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
1993,12.3,집합,제1종근린생활, , , ,"2,500",28,2,2017, , , ,4**,제1종일반주거, ,48121,창원시 의창구, , ,도계동,창원시 의창구,경상남도
2013,91.29,집합,제1종근린생활, , , ,"34,500",14,2,2017, , ,2,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
1986,48.29,집합,제2종근린생활, , , ,"36,000",3,2,2017, , , ,5*,준주거, ,48121,창원시 의창구, , ,사림동,창원시 의창구,경상남도
1986,46.62,집합,제2종근린생활, , , ,"31,500",3,2,2017, , , ,5*,준주거, ,48121,창원시 의창구, , ,사림동,창원시 의창구,경상남도
2003,221.45,일반,제1종근린생활, , , ,"19,000",17,2,2017, , , ,2*,제2종전용주거,188,48121,창원시 의창구, , ,동읍 용정리,창원시 의창구,경상남도
1992,1124.39,일반,제2종근린생활, , , ,"180,000",16,2,2017, , , ,5*,준주거,319.1,48121,창원시 의창구, , ,사림동,창원시 의창구,경상남도
2004,36.0,집합,제1종근린생활, , , ,"9,000",28,2,2017, , ,1,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
2016,53.31,집합,제1종근린생활, , , ,"70,445",28,2,2017, , ,1,1**,준주거, ,48121,창원시 의창구, , ,북면 무동리,창원시 의창구,경상남도
1997,83.21,집합,기타, , , ,"14,000",28,2,2017, , , ,3*,일반상업, ,48121,창원시 의창구, , ,봉곡동,창원시 의창구,경상남도
2004,140.23,집합,기타, , , ,"36,000",24,2,2017, , ,3,3*,일반상업, ,48121,창원시 의창구, , ,봉곡동,창원시 의창구,경상남도
1991,117.79,집합,제1종근린생활, , , ,"10,000",20,2,2017, , , ,1**,준주거, ,48121,창원시 의창구, , ,봉곡동,창원시 의창구,경상남도
1991,210.12,집합,제1종근린생활, , , ,"21,900",8,2,2017, , , ,1**,일반상업, ,48121,창원시 의창구, , ,명서동,창원시 의창구,경상남도
2002,27.0,집합,제1종근린생활, , , ,"2,500",13,2,2017, , ,2,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
2002,27.0,집합,제1종근린생활, , , ,"2,500",13,2,2017, , ,2,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
2002,27.0,집합,제1종근린생활, , , ,"2,500",13,2,2017, , ,2,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
2002,27.0,집합,제1종근린생활, , , ,"2,500",13,2,2017, , ,2,1*,유통상업, ,48121,창원시 의창구, , ,팔용동,창원시 의창구,경상남도
