buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
1986,317.65,일반,숙박, , , ,"21,800",14,1,2020, , , ,1***,일반상업,192,46110,목포시, , ,산정동,목포시,전라남도
1999,19.6,집합,판매, , , ,"21,400",21,1,2020, , , ,1***,준주거, ,46110,목포시, , ,석현동,목포시,전라남도
2020,192.6,일반,제1종근린생활, , , ,"30,500",31,1,2020, , , ,1***,제2종일반주거,322.6,46110,목포시, , ,산정동,목포시,전라남도
1952,174.88,일반,제1종근린생활, , , ,"25,000",28,1,2020, , , ,*,일반상업,135.3,46110,목포시, , ,복만동,목포시,전라남도
2015,193.75,일반,제1종근린생활, , , ,"40,000",20,1,2020, , , ,1***,준주거,279.7,46110,목포시, , ,상동,목포시,전라남도
1997,493.05,일반,업무, , , ,"23,700",10,1,2020, , , ,9**,제2종일반주거,193.5,46110,목포시, , ,용해동,목포시,전라남도
2003,897.69,일반,제2종근린생활, , , ,"88,000",22,1,2020, , , ,1***,일반상업,330.6,46110,목포시, , ,옥암동,목포시,전라남도
2001,185.75,집합,제2종근린생활, , , ,"18,900",31,1,2020, , ,3,1***,준주거, ,46110,목포시, , ,상동,목포시,전라남도
1996,591.04,일반,숙박, , , ,"52,000",20,1,2020, , , ,9**,준주거,256.6,46110,목포시, , ,상동,목포시,전라남도
2001,193.92,일반,제1종근린생활, , , ,"38,000",2,1,2020, , , ,1***,일반상업,277.4,46110,목포시, , ,상동,목포시,전라남도
1991,174.08,일반,제1종근린생활, , , ,"16,000",3,1,2020, , , ,1***,제1종일반주거,312.2,46110,목포시, , ,산정동,목포시,전라남도
1988,33.53,일반,제2종근린생활, , , ,"57,000",3,2,2020, , , ,1***,제1종일반주거,661.2,46110,목포시, , ,산정동,목포시,전라남도
1935,89.26,일반,제1종근린생활, , , ,"12,000",18,2,2020, , , ,8*,일반상업,99.2,46110,목포시, , ,남교동,목포시,전라남도
1999,52.73,집합,제1종근린생활, , , ,"9,040",13,2,2020, , ,1,1***,준주거, ,46110,목포시, , ,옥암동,목포시,전라남도
1999,46.58,집합,제1종근린생활, , , ,"7,960",13,2,2020, , ,1,1***,준주거, ,46110,목포시, , ,옥암동,목포시,전라남도
1991,496.81,일반,제1종근린생활, , , ,"11,000",21,2,2020, , , ,4**,제2종일반주거,246,46110,목포시, , ,동명동,목포시,전라남도
2010,577.36,일반,제1종근린생활, , , ,"90,000",22,2,2020, , , ,1***,준주거,414,46110,목포시, , ,옥암동,목포시,전라남도
1992,3250.92,일반,업무, , , ,"260,000",18,2,2020, , , ,1**,일반상업,1183,46110,목포시, , ,상동,목포시,전라남도
2007,56.77,집합,제1종근린생활, , , ,"6,000",17,2,2020, , ,2,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,87.3,집합,제1종근린생활, , , ,"64,110",27,2,2020, , ,1,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
1999,19.6,집합,판매, , , ,"24,500",21,2,2020, , , ,1***,준주거, ,46110,목포시, , ,석현동,목포시,전라남도
2000,987.78,일반,제2종근린생활, , , ,"152,000",13,2,2020, , , ,8**,중심상업,635.8,46110,목포시, , ,상동,목포시,전라남도
2017,108.0,일반,제2종근린생활, , , ,"41,200",12,2,2020, , , ,1***,일반공업,1024.4,46110,목포시, , ,대양동,목포시,전라남도
1978,362.21,일반,제2종근린생활, , , ,"20,500",28,2,2020, , , ,4**,제2종일반주거,462.8,46110,목포시, , ,동명동,목포시,전라남도
1986,920.85,일반,숙박, , , ,"40,000",17,2,2020, , , ,1***,일반상업,284.9,46110,목포시, , ,용당동,목포시,전라남도
2018,98.7,집합,제1종근린생활, , , ,"32,000",18,2,2020, , ,3,2***,준주거, ,46110,목포시, , ,연산동,목포시,전라남도
1995,904.38,일반,제1종근린생활, , , ,"38,000",13,2,2020, , , ,*,일반상업,274.4,46110,목포시, , ,상락동2가,목포시,전라남도
2018,85.04,집합,제1종근린생활, , , ,"28,000",18,2,2020, , ,3,2***,준주거, ,46110,목포시, , ,연산동,목포시,전라남도
1999,19.6,집합,판매, , , ,"25,300",21,2,2020, , , ,1***,준주거, ,46110,목포시, , ,석현동,목포시,전라남도
2016,89.38,집합,제1종근린생활, , , ,"54,200",13,2,2020, , ,1,7**,준공업, ,46110,목포시, , ,죽교동,목포시,전라남도
1990,27.6,집합,제2종근린생활, , , ,"1,600",24,2,2020, , ,2,4**,제2종일반주거, ,46110,목포시, , ,용해동,목포시,전라남도
1976,64.12,일반,제2종근린생활, , , ,"9,400",19,2,2020, , , ,9**,제1종일반주거,132,46110,목포시, , ,용당동,목포시,전라남도
1999,19.6,집합,판매, , , ,"11,000",12,2,2020, , , ,1***,준주거, ,46110,목포시, , ,석현동,목포시,전라남도
2002,250.8,일반,제1종근린생활, , , ,"53,000",6,2,2020, , , ,9**,일반상업,358.7,46110,목포시, , ,옥암동,목포시,전라남도
2008,61.2,집합,제2종근린생활, , , ,"29,000",7,2,2020, , , ,1***,제1종일반주거, ,46110,목포시, , ,옥암동,목포시,전라남도
1994,32.4,집합,제2종근린생활, , , ,"5,700",1,2,2020, , ,1,1**,제2종일반주거, ,46110,목포시, , ,용해동,목포시,전라남도
2007,161.34,일반,제2종근린생활, , , ,"70,000",18,3,2020, , , ,1***,준주거,232.2,46110,목포시, , ,상동,목포시,전라남도
2007,83.62,일반,제1종근린생활, , , ,"14,000",20,3,2020, , , ,9**,제2종일반주거,83,46110,목포시, , ,용당동,목포시,전라남도
2003,1114.73,일반,제1종근린생활, , , ,"88,000",14,3,2020, , , ,9**,준주거,327.7,46110,목포시, , ,상동,목포시,전라남도
1992,1158.45,일반,제1종근린생활, , , ,"50,000",13,3,2020, , , ,1***,제1종일반주거,396.8,46110,목포시, , ,산정동,목포시,전라남도
1960,48.92,일반,제1종근린생활, , , ,"4,000",23,3,2020, , , ,1**,일반상업,69,46110,목포시, , ,호남동,목포시,전라남도
1976,67.76,일반,제2종근린생활, , , ,"24,000",18,3,2020, , , ,1***,일반상업,165.3,46110,목포시, , ,용당동,목포시,전라남도
2004,316.42,일반,제2종근린생활, , , ,"39,000",12,3,2020, , , ,9**,제1종일반주거,728.5,46110,목포시, , ,용해동,목포시,전라남도
1992,327.38,일반,제2종근린생활, ,20.06.08,O,"42,000",23,3,2020, , , ,*,제1종일반주거,173.9,46110,목포시, , ,중앙동1가,목포시,전라남도
 ,122.5,일반,제1종근린생활, , , ,"26,800",2,3,2020, , , ,1***,제2종일반주거,110.7,46110,목포시, , ,산정동,목포시,전라남도
2019,124.43,집합,제1종근린생활, , , ,"100,000",2,3,2020, , ,1,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,53.6,집합,제1종근린생활, , , ,"42,855",2,3,2020, , ,1,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,78.69,집합,제1종근린생활, , , ,"66,440",2,3,2020, , ,1,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,62.57,집합,제1종근린생활, , , ,"47,010",2,3,2020, , ,1,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,74.94,집합,제1종근린생활, , , ,"63,060",2,3,2020, , ,1,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,87.62,집합,제1종근린생활, , , ,"64,460",2,3,2020, , ,1,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,72.02,집합,제1종근린생활, , , ,"26,250",2,3,2020, , ,2,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,114.13,집합,제1종근린생활, , , ,"32,070",2,3,2020, , ,2,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,138.47,집합,제1종근린생활, , , ,"38,860",2,3,2020, , ,2,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,198.97,집합,제1종근린생활, , , ,"55,750",2,3,2020, , ,2,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,177.54,집합,제1종근린생활, , , ,"49,770",2,3,2020, , ,2,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,124.71,집합,제1종근린생활, , , ,"35,020",2,3,2020, , ,2,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,114.19,집합,제1종근린생활, , , ,"32,080",2,3,2020, , ,2,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2019,91.52,집합,제1종근린생활, , , ,"26,011",2,3,2020, , ,2,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
1996,256.64,집합,제1종근린생활, , , ,"45,000",17,3,2020, , , ,9**,일반상업, ,46110,목포시, , ,옥암동,목포시,전라남도
