buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2011,1781.19,일반,숙박, , , ,"160,000",26,1,2023,직거래, , ,8**,중심상업,306.5,46110,목포시, , ,상동,목포시,전라남도
2019,47.93,집합,제2종근린생활, , , ,"8,426",27,1,2023,직거래, ,1,1***,제3종일반주거, ,46110,목포시, , ,산정동,목포시,전라남도
2007,72.77,집합,업무, , , ,"4,000",17,1,2023,직거래, , ,1**,제3종일반주거, ,46110,목포시, , ,용해동,목포시,전라남도
2003,2883.02,일반,숙박, , , ,"282,500",10,1,2023,중개거래,광주 광산구, ,1***,중심상업,599.9,46110,목포시, , ,상동,목포시,전라남도
1977,213.71,일반,제1종근린생활, , , ,"35,500",10,1,2023,직거래, , ,*,제1종일반주거,216.6,46110,목포시, , ,대의동2가,목포시,전라남도
2003,33.86,집합,제2종근린생활, , , ,"5,000",31,1,2023,직거래, ,3,1***,준공업, ,46110,목포시, , ,산정동,목포시,전라남도
2003,35.18,집합,제2종근린생활, , , ,"5,000",31,1,2023,직거래, ,3,1***,준공업, ,46110,목포시, , ,산정동,목포시,전라남도
1999,19.6,집합,판매, , , ,"10,000",2,1,2023,직거래, , ,1***,준주거, ,46110,목포시, , ,석현동,목포시,전라남도
1995,486.0,일반,제2종근린생활, , , ,"38,000",27,2,2023,중개거래,전남 목포시, ,1***,제2종일반주거,202.9,46110,목포시, , ,산정동,목포시,전라남도
1988,1075.93,일반,숙박, , , ,"70,000",25,2,2023,중개거래,광주 서구, ,*,일반상업,324,46110,목포시, , ,창평동,목포시,전라남도
1997,315.32,일반,제2종근린생활, , , ,"50,000",23,2,2023,직거래, , ,1***,일반상업,424.4,46110,목포시, , ,옥암동,목포시,전라남도
1963,125.62,일반,제1종근린생활, , , ,"7,000",24,2,2023,직거래, , ,1**,일반상업,92.6,46110,목포시, , ,남교동,목포시,전라남도
2003,948.18,일반,제2종근린생활, , , ,"150,000",24,2,2023,중개거래,전남 목포시, ,1***,중심상업,635.3,46110,목포시, , ,상동,목포시,전라남도
2000,229.59,일반,제1종근린생활, , , ,"27,000",24,2,2023,중개거래,전남 목포시, ,1***,제1종일반주거,128.9,46110,목포시, , ,산정동,목포시,전라남도
1979,78.76,일반,업무, , , ,"6,000",23,2,2023,중개거래,전남 목포시, ,6*,일반상업,37.5,46110,목포시, , ,남교동,목포시,전라남도
1995,258.75,일반,제1종근린생활, , , ,"27,000",20,2,2023,직거래, , ,1***,제1종일반주거,153.7,46110,목포시, , ,용당동,목포시,전라남도
 ,477.92,일반,제2종근린생활, , , ,"300,000",7,2,2023,중개거래,"경기 평택시, 전남 무안군", ,1***,중심상업,573.3,46110,목포시, , ,상동,목포시,전라남도
1990,72.0,집합,제2종근린생활, , , ,"2,100",13,2,2023,직거래, ,3,4**,제2종일반주거, ,46110,목포시,지분, ,용해동,목포시,전라남도
1990,27.6,집합,제1종근린생활, , , ,800,13,2,2023,직거래, ,3,4**,제2종일반주거, ,46110,목포시,지분, ,용해동,목포시,전라남도
1990,24.8,집합,제1종근린생활, , , ,700,13,2,2023,직거래, ,3,4**,제2종일반주거, ,46110,목포시,지분, ,용해동,목포시,전라남도
1935,39.66,일반,제2종근린생활, , , ,"6,000",13,2,2023,중개거래,전남 목포시, ,*,제1종일반주거,81,46110,목포시, , ,금화동,목포시,전라남도
1991,518.79,일반,제1종근린생활, , , ,"21,500",10,2,2023,직거래, , ,1***,준주거,355.05,46110,목포시,지분, ,산정동,목포시,전라남도
1991,3922.97,일반,기타, , , ,"250,000",8,2,2023,직거래, , ,1***,제2종일반주거,1921.5,46110,목포시, , ,산정동,목포시,전라남도
1999,19.6,집합,판매, , , ,"9,000",8,2,2023,직거래, , ,1***,준주거, ,46110,목포시, , ,석현동,목포시,전라남도
1999,382.5,일반,제2종근린생활, , , ,"78,000",2,2,2023,중개거래,전남 영암군, ,1***,중심상업,485.3,46110,목포시, , ,상동,목포시,전라남도
1995,258.75,일반,제1종근린생활, ,23.02.20,O,"27,000",6,2,2023,직거래, , ,1***,제1종일반주거,153.7,46110,목포시, , ,용당동,목포시,전라남도
1998,652.34,일반,제2종근린생활, , , ,"48,000",27,3,2023,중개거래,전남 목포시, ,7**,준주거,235.7,46110,목포시, , ,상동,목포시,전라남도
2000,43.92,집합,제1종근린생활, , , ,"3,000",17,3,2023,직거래, ,1,7*,제2종일반주거, ,46110,목포시, , ,대양동,목포시,전라남도
1976,122.3,일반,제1종근린생활, ,23.08.29,O,"9,000",10,3,2023,직거래, , ,1***,일반상업,106,46110,목포시, , ,산정동,목포시,전라남도
1956,65.78,일반,제1종근린생활, ,23.04.11,O,"24,700",9,3,2023,중개거래,전남 목포시, ,1*,일반상업,56.2,46110,목포시, , ,상락동2가,목포시,전라남도
2007,38.4,집합,제2종근린생활, , , ,"24,500",29,3,2023,직거래, ,1,1***,제3종일반주거, ,46110,목포시, , ,옥암동,목포시,전라남도
1982,484.96,일반,숙박, , , ,"15,640",15,3,2023,직거래, , ,4*,일반상업,162,46110,목포시, , ,산정동,목포시,전라남도
2016,130.08,집합,제1종근린생활, , , ,"45,000",20,3,2023,직거래, ,1,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2007,82.84,집합,제2종근린생활, , , ,"22,250",7,3,2023,직거래, ,1,1***,제2종일반주거, ,46110,목포시, , ,상동,목포시,전라남도
2007,80.35,집합,제2종근린생활, , , ,"21,590",7,3,2023,직거래, ,1,1***,제2종일반주거, ,46110,목포시, , ,상동,목포시,전라남도
2007,76.05,집합,제2종근린생활, , , ,"20,430",7,3,2023,직거래, ,1,1***,제2종일반주거, ,46110,목포시, , ,상동,목포시,전라남도
2007,80.89,집합,제2종근린생활, , , ,"21,730",7,3,2023,직거래, ,1,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
2013,183.87,일반,제2종근린생활, , , ,"40,500",17,3,2023,중개거래,전남 목포시, ,1***,준공업,472.1,46110,목포시, , ,달동,목포시,전라남도
