buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
1982,256.35,일반,제2종근린생활, , , ,"18,700",14,1,2013, , , ,9**,제2종일반주거,150,46110,목포시, , ,용당동,목포시,전라남도
1999,36.72,집합,판매, , , ,"4,435",18,1,2013, , ,2,1***,준주거, ,46110,목포시,지분, ,석현동,목포시,전라남도
1960,105.78,일반,제1종근린생활, , , ,"5,700",11,1,2013, , , ,1***,일반상업,77,46110,목포시, , ,산정동,목포시,전라남도
1935,42.98,일반,제1종근린생활, , , ,"3,000",22,1,2013, , , ,*,일반상업,29.7,46110,목포시, , ,무안동,목포시,전라남도
2007,43.59,집합,제2종근린생활, , , ,"15,300",2,1,2013, , , ,8**,제2종일반주거, ,46110,목포시, , ,석현동,목포시,전라남도
2002,264.88,일반,제1종근린생활, , , ,"63,000",7,1,2013, , , ,1***,준주거,400.4,46110,목포시, , ,상동,목포시,전라남도
1999,23.02,집합,제1종근린생활, , , ,"5,000",20,1,2013, , , ,1***,준주거, ,46110,목포시, , ,옥암동,목포시,전라남도
1999,23.02,집합,제1종근린생활, , , ,"5,000",20,1,2013, , , ,1***,준주거, ,46110,목포시, , ,옥암동,목포시,전라남도
1998,413.76,일반,제1종근린생활, , , ,"70,000",21,1,2013, , , ,9**,일반상업,614.8,46110,목포시, , ,옥암동,목포시,전라남도
1999,21.42,집합,판매, , , ,"2,800",4,1,2013, , ,1,1***,준주거, ,46110,목포시, , ,산정동,목포시,전라남도
2007,43.59,집합,제2종근린생활, , , ,"15,300",2,1,2013, , , ,8**,제2종일반주거, ,46110,목포시, , ,석현동,목포시,전라남도
2012,141.8,집합,제2종근린생활, , , ,"29,500",10,1,2013, , ,5,1***,일반상업, ,46110,목포시, , ,옥암동,목포시,전라남도
1994,48.0,일반,제2종근린생활, , , ,"4,000",31,1,2013, , , ,1***,제1종일반주거,172.5,46110,목포시, , ,산정동,목포시,전라남도
2001,326.64,일반,제1종근린생활, , , ,"60,000",2,1,2013, , , ,1***,일반상업,493.9,46110,목포시, , ,옥암동,목포시,전라남도
1999,19.6,집합,판매, , , ,"10,000",29,1,2013, , ,1,1***,준주거, ,46110,목포시, , ,석현동,목포시,전라남도
1986,409.8,일반,제1종근린생활, , , ,"14,000",29,1,2013, , , ,4**,제2종일반주거,242.47,46110,목포시, , ,동명동,목포시,전라남도
1994,66.87,집합,제1종근린생활, , , ,"2,900",7,1,2013, , , ,3**,제1종일반주거, ,46110,목포시, , ,죽교동,목포시,전라남도
2005,391.5,일반,제1종근린생활, , , ,"34,800",9,1,2013, , , ,9**,준주거,508.9,46110,목포시, , ,상동,목포시,전라남도
1984,115.7,일반,제2종근린생활, , , ,"12,600",14,1,2013, , , ,9**,제2종일반주거,219,46110,목포시, , ,용당동,목포시,전라남도
1974,22.28,일반,제1종근린생활, , , ,"1,300",28,1,2013, , , ,*,일반상업,12.2,46110,목포시, , ,항동,목포시,전라남도
2000,20.2,일반,제1종근린생활, , , ,"2,700",29,1,2013, , , ,*,일반상업,12.7,46110,목포시, , ,항동,목포시,전라남도
2004,1805.21,일반,제1종근린생활, , , ,"150,000",18,1,2013, , , ,1***,중심상업,813,46110,목포시, , ,상동,목포시,전라남도
2007,90.52,일반,제2종근린생활, , , ,"11,000",1,1,2013, , , ,1**,제1종일반주거,552,46110,목포시, , ,대양동,목포시,전라남도
2000,40.67,집합,제1종근린생활, , , ,"3,250",8,1,2013, , ,1,1***,제1종일반주거, ,46110,목포시, , ,산정동,목포시,전라남도
1996,410.54,일반,제2종근린생활, , , ,"51,000",28,2,2013, , , ,7**,준주거,198.4,46110,목포시, , ,상동,목포시,전라남도
1999,114.12,일반,제1종근린생활, , , ,"7,000",28,2,2013, , , ,1***,제2종일반주거,191.7,46110,목포시, , ,산정동,목포시,전라남도
2000,120.6,일반,제1종근린생활, , , ,"11,000",28,2,2013, , , ,1***,제2종일반주거,204.6,46110,목포시, , ,산정동,목포시,전라남도
2002,299.64,집합,제2종근린생활, , , ,"110,000",8,2,2013, , , ,1***,중심상업, ,46110,목포시, , ,상동,목포시,전라남도
1995,473.01,일반,제2종근린생활, , , ,"55,000",7,2,2013, , , ,1***,제1종일반주거,246.4,46110,목포시, , ,산정동,목포시,전라남도
2001,843.64,일반,제1종근린생활, , , ,"90,000",10,2,2013, , , ,1***,중심상업,542.9,46110,목포시, , ,상동,목포시,전라남도
1994,329.32,일반,제2종근린생활, , , ,"30,000",28,2,2013, , , ,1***,제2종일반주거,201.7,46110,목포시, , ,산정동,목포시,전라남도
2000,456.73,일반,제2종근린생활, , , ,"80,000",26,2,2013, , , ,8**,중심상업,591.9,46110,목포시, , ,상동,목포시,전라남도
1971,78.48,일반,제1종근린생활, , , ,"9,200",1,2,2013, , , ,8*,일반상업,103.4,46110,목포시, , ,남교동,목포시,전라남도
1978,103.14,일반,제1종근린생활, , , ,"6,800",1,2,2013, , , ,8*,일반상업,136.7,46110,목포시, , ,남교동,목포시,전라남도
2005,75.9,집합,제1종근린생활, , , ,"8,200",27,2,2013, , ,1,5**,제2종일반주거, ,46110,목포시, , ,대양동,목포시,전라남도
1988,81.9,일반,제1종근린생활, , , ,"5,400",15,2,2013, , , ,3*,제1종일반주거,76,46110,목포시, , ,산정동,목포시,전라남도
1996,36.4,집합,제2종근린생활, , , ,"17,000",17,2,2013, , ,1,1***,제2종일반주거, ,46110,목포시, , ,연산동,목포시,전라남도
2008,230.4,일반,제2종근린생활, , , ,"16,000",27,2,2013, , , ,1***,중심상업,201.45,46110,목포시,지분, ,상동,목포시,전라남도
2000,44.64,집합,제1종근린생활, , , ,"3,300",21,2,2013, , ,2,7*,제2종일반주거, ,46110,목포시, , ,대양동,목포시,전라남도
2000,42.3,집합,제1종근린생활, , , ,"3,200",21,2,2013, , ,2,7*,제2종일반주거, ,46110,목포시, , ,대양동,목포시,전라남도
2010,97.2,일반,제2종근린생활, , , ,"17,000",26,2,2013, , , ,5**,자연녹지,401,46110,목포시, , ,대양동,목포시,전라남도
2006,712.5,집합,기타, , , ,"68,000",26,2,2013, , ,4,8**,제2종일반주거, ,46110,목포시, , ,석현동,목포시,전라남도
2007,198.0,일반,제2종근린생활, , , ,"32,500",27,2,2013, , , ,1***,준주거,320,46110,목포시, , ,옥암동,목포시,전라남도
1997,1444.78,일반,제1종근린생활, , , ,"98,000",27,2,2013, , , ,1***,일반상업,439,46110,목포시, , ,산정동,목포시,전라남도
1986,584.81,일반,제1종근린생활, , , ,"70,000",10,2,2013, , , ,2**,제1종일반주거,325,46110,목포시, , ,용해동,목포시,전라남도
2002,297.2,일반,기타, , , ,"43,600",8,2,2013, , , ,7**,제1종일반주거,270,46110,목포시, , ,상동,목포시,전라남도
1970,160.79,일반,제1종근린생활, , , ,"7,500",25,2,2013, , , ,9**,일반상업,83,46110,목포시, , ,용당동,목포시,전라남도
1970,84.3,일반,제1종근린생활, , , ,"3,000",25,2,2013, , , ,*,일반상업,38.5,46110,목포시,지분, ,축복동3가,목포시,전라남도
1995,118.5,일반,제1종근린생활, , , ,"5,100",22,2,2013, , , ,6**,일반공업,225,46110,목포시, , ,연산동,목포시,전라남도
2010,1254.17,일반,숙박, , , ,"120,000",8,2,2013, , , ,9**,준주거,268.9,46110,목포시, , ,상동,목포시,전라남도
1991,38.48,집합,제1종근린생활, , , ,"2,700",18,2,2013, , ,2,1***,제2종일반주거, ,46110,목포시, , ,산정동,목포시,전라남도
1985,204.12,일반,제1종근린생활, , , ,"11,800",3,2,2013, , , ,2**,제2종일반주거,195,46110,목포시, , ,대성동,목포시,전라남도
1999,19.6,집합,판매, , , ,"6,500",15,2,2013, , , ,1***,준주거, ,46110,목포시, , ,석현동,목포시,전라남도
2007,170.52,집합,제2종근린생활, , , ,"28,000",12,2,2013, , ,5,1***,제3종일반주거, ,46110,목포시, , ,옥암동,목포시,전라남도
1993,33.0,집합,제1종근린생활, , , ,"10,000",13,2,2013, , ,1,1**,제2종일반주거, ,46110,목포시, , ,산정동,목포시,전라남도
