buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2013,263.28,일반,제2종근린생활, , , ,"230,000",13,1,2022,중개거래,강원 춘천시, ,1***,제2종일반주거,1137.9,51110,춘천시, , ,퇴계동,춘천시,강원특별자치도
2013,263.28,일반,업무, ,22.10.19,O,"230,000",13,1,2022,중개거래,강원 춘천시, ,1***,제2종일반주거,1137.9,51110,춘천시, , ,퇴계동,춘천시,강원특별자치도
2021,33.75,집합,판매, , , ,"35,000",25,1,2022,중개거래,강원 춘천시,1,9**,제2종일반주거, ,51110,춘천시, , ,후평동,춘천시,강원특별자치도
2021,34.5,집합,제2종근린생활, , , ,"37,500",25,1,2022,중개거래,강원 춘천시,1,9**,제2종일반주거, ,51110,춘천시, , ,후평동,춘천시,강원특별자치도
2012,1113.02,일반,제1종근린생활, , , ,"248,600",17,1,2022,중개거래,강원 춘천시, ,7**,일반상업,327.4,51110,춘천시, , ,후평동,춘천시,강원특별자치도
1960,274.51,일반,제2종근린생활, , , ,"40,000",27,1,2022,직거래, , ,6*,일반상업,185,51110,춘천시, , ,조양동,춘천시,강원특별자치도
2015,668.63,일반,제2종근린생활, , , ,"42,000",28,1,2022,직거래, , ,5**,제1종일반주거,151.8,51110,춘천시,지분, ,칠전동,춘천시,강원특별자치도
2021,33.75,집합,제2종근린생활, ,22.05.10,O,"35,000",25,1,2022,중개거래,강원 춘천시,1,9**,제2종일반주거, ,51110,춘천시, , ,후평동,춘천시,강원특별자치도
2021,34.5,집합,제2종근린생활, ,22.05.10,O,"37,500",25,1,2022,중개거래,강원 춘천시,1,9**,제2종일반주거, ,51110,춘천시, , ,후평동,춘천시,강원특별자치도
2001,749.7,일반,숙박, , , ,"110,000",17,1,2022,직거래, , ,3**,일반상업,231,51110,춘천시, , ,퇴계동,춘천시,강원특별자치도
2011,325.76,일반,제2종근린생활, , , ,"76,000",29,1,2022,중개거래,강원 춘천시, ,5**,제1종일반주거,234.6,51110,춘천시, , ,칠전동,춘천시,강원특별자치도
2013,603.87,일반,제2종근린생활, ,22.10.07,O,"230,000",13,1,2022,중개거래,강원 춘천시, ,1***,제2종일반주거,1137.9,51110,춘천시, , ,퇴계동,춘천시,강원특별자치도
1997,92.42,일반,판매, , , ,"20,000",27,1,2022,중개거래,강원 춘천시, ,1**,일반상업,57,51110,춘천시, , ,소양로2가,춘천시,강원특별자치도
2020,912.31,일반,제2종근린생활, , , ,"37,820",27,1,2022,직거래, , ,8**,계획관리,535.67,51110,춘천시,지분, ,동산면 군자리,춘천시,강원특별자치도
2021,34.9,일반,제2종근린생활, , , ,"12,000",27,1,2022,직거래, , ,2**,보전녹지,603,51110,춘천시, , ,서면 서상리,춘천시,강원특별자치도
1992,12.21,집합,판매, , , ,"2,500",27,1,2022,직거래, , ,1**,일반상업, ,51110,춘천시, , ,소양로2가,춘천시,강원특별자치도
1992,12.21,집합,판매, , , ,"3,300",27,1,2022,직거래, , ,1**,일반상업, ,51110,춘천시, , ,소양로2가,춘천시,강원특별자치도
1996,228.8,일반,제1종근린생활, , , ,"18,300",25,1,2022,직거래, , ,6**,준주거,147.5,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
 ,14.91,집합,판매, , , ,"3,293",17,1,2022,중개거래,강원 춘천시, ,6**,일반상업, ,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
 ,14.91,집합,판매, , , ,"3,293",17,1,2022,중개거래,강원 춘천시, ,6**,일반상업, ,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
2022,55.86,집합,제2종근린생활, , , ,"32,628",10,1,2022,직거래, ,2,9*,일반상업, ,51110,춘천시, , ,소양로1가,춘천시,강원특별자치도
1989,574.52,일반,제2종근린생활, , , ,"25,000",14,1,2022,직거래, , ,6*,제2종일반주거,98.67,51110,춘천시,지분, ,후평동,춘천시,강원특별자치도
2012,1113.02,일반,제1종근린생활, ,22.03.31,O,"250,000",17,1,2022,중개거래,강원 춘천시, ,7**,일반상업,327.4,51110,춘천시, , ,후평동,춘천시,강원특별자치도
1990,79.8,집합,제2종근린생활, , , ,"9,400",15,1,2022,중개거래,강원 춘천시,3,2**,제2종일반주거, ,51110,춘천시, , ,석사동,춘천시,강원특별자치도
1988,17.16,집합,제2종근린생활, , , ,"4,150",8,1,2022,직거래, , ,1**,일반상업, ,51110,춘천시, , ,운교동,춘천시,강원특별자치도
1988,17.16,집합,제2종근린생활, , , ,"4,150",8,1,2022,직거래, , ,1**,일반상업, ,51110,춘천시, , ,운교동,춘천시,강원특별자치도
1976,447.09,일반,업무, ,22.02.21,O,"24,000",8,1,2022,중개거래,강원 춘천시, ,1**,일반상업,132,51110,춘천시, , ,소양로2가,춘천시,강원특별자치도
2019,44.0,집합,제2종근린생활, , , ,"50,000",4,1,2022,직거래, , ,1***,제3종일반주거, ,51110,춘천시, , ,퇴계동,춘천시,강원특별자치도
 ,70.83,일반,제2종근린생활, , , ,"26,000",23,2,2022,직거래, , ,2*,제2종일반주거,215,51110,춘천시, , ,약사동,춘천시,강원특별자치도
2003,92.7,일반,제2종근린생활, , , ,"72,500",23,2,2022,중개거래,강원 춘천시, ,1**,제2종일반주거,245,51110,춘천시, , ,퇴계동,춘천시,강원특별자치도
1985,95.4,일반,제1종근린생활, , , ,"20,000",20,2,2022,중개거래,강원 춘천시, ,7*,제2종일반주거,173,51110,춘천시, , ,사농동,춘천시,강원특별자치도
2007,394.63,일반,제2종근린생활, , , ,"205,000",22,2,2022,중개거래,강원 춘천시, ,8**,준주거,580.4,51110,춘천시, , ,석사동,춘천시,강원특별자치도
2019,256.32,일반,제1종근린생활, ,22.06.03,O,"45,000",21,2,2022,중개거래,강원 춘천시, ,3*,자연녹지,876,51110,춘천시, , ,퇴계동,춘천시,강원특별자치도
1984,718.68,일반,제2종근린생활, , , ,"142,290",16,2,2022,중개거래,강원 춘천시, ,7**,일반상업,276.9,51110,춘천시, , ,근화동,춘천시,강원특별자치도
1995,117.0,일반,제2종근린생활, , , ,"11,500",21,2,2022,직거래, , ,8**,제2종일반주거,165.5,51110,춘천시,지분, ,동면 만천리,춘천시,강원특별자치도
1985,822.96,일반,제2종근린생활, , , ,"77,000",14,2,2022,중개거래,강원 춘천시, ,2**,일반상업,339.5,51110,춘천시, , ,근화동,춘천시,강원특별자치도
2017,54.0,일반,제2종근린생활, , , ,"12,900",19,2,2022,중개거래,강원 춘천시, ,3**,생산녹지,417,51110,춘천시, , ,동내면 고은리,춘천시,강원특별자치도
2017,54.0,일반,제2종근린생활, ,22.03.11,O,"12,900",19,2,2022,중개거래,강원 춘천시, ,3**,생산녹지,417,51110,춘천시, , ,동내면 고은리,춘천시,강원특별자치도
2018,66.32,집합,제2종근린생활, , , ,"57,000",25,2,2022,중개거래,강원 춘천시,1,9**,제2종일반주거, ,51110,춘천시, , ,후평동,춘천시,강원특별자치도
2001,71.75,일반,제2종근린생활, , , ,"26,000",19,2,2022,직거래, , ,9*,제2종일반주거,224,51110,춘천시, , ,후평동,춘천시,강원특별자치도
2004,101.2,집합,제2종근린생활, , , ,"27,000",24,2,2022,중개거래,강원 춘천시,5,8**,준주거, ,51110,춘천시, , ,석사동,춘천시,강원특별자치도
1982,69.27,집합,제2종근린생활, , , ,"14,877",16,2,2022,중개거래,강원 춘천시, ,6**,일반상업, ,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
 ,14.91,집합,판매, , , ,"3,293",12,2,2022,중개거래,강원 춘천시,1,6**,일반상업, ,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
 ,15.88,집합,판매, , , ,"3,506",12,2,2022,중개거래,강원 춘천시,1,6**,일반상업, ,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
 ,22.37,집합,판매, , , ,"4,939",11,2,2022,중개거래,강원 춘천시, ,6**,일반상업, ,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
 ,31.76,집합,판매, , , ,"6,840",9,2,2022,중개거래,강원 춘천시, ,6**,일반상업, ,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
 ,18.0,집합,판매, , , ,"3,847",9,2,2022,중개거래,강원 춘천시, ,6**,일반상업, ,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
 ,24.22,집합,판매, , , ,"5,349",7,2,2022,중개거래,강원 춘천시, ,6**,일반상업, ,51110,춘천시,지분, ,효자동,춘천시,강원특별자치도
2004,132.24,집합,제2종근린생활, , , ,"37,000",16,2,2022,중개거래,강원 춘천시,2,8**,준주거, ,51110,춘천시, , ,석사동,춘천시,강원특별자치도
2004,97.44,집합,제2종근린생활, , , ,"25,000",16,2,2022,중개거래,강원 춘천시,2,8**,준주거, ,51110,춘천시, , ,석사동,춘천시,강원특별자치도
1990,463.7,일반,제1종근린생활, , , ,"40,000",25,2,2022,직거래, , ,5**,제2종일반주거,262,51110,춘천시, , ,효자동,춘천시,강원특별자치도
1978,778.61,일반,제1종근린생활, , , ,"116,000",24,2,2022,중개거래,경기 고양일산동구, ,6**,일반상업,292.6,51110,춘천시, , ,후평동,춘천시,강원특별자치도
2012,168.0,일반,제2종근린생활, , , ,"50,000",7,2,2022,직거래, , ,4**,자연녹지,560,51110,춘천시, , ,온의동,춘천시,강원특별자치도
2003,92.7,일반,제2종근린생활, ,22.03.22,O,"77,500",23,2,2022,중개거래,강원 춘천시, ,1**,제2종일반주거,311,51110,춘천시, , ,퇴계동,춘천시,강원특별자치도
1980,280.8,일반,제1종근린생활, , , ,"80,000",16,2,2022,중개거래,강원 춘천시, ,6**,일반상업,352.8,51110,춘천시, , ,후평동,춘천시,강원특별자치도
1976,447.09,일반,제2종근린생활, , , ,"52,000",19,2,2022,중개거래,강원 춘천시, ,1**,일반상업,287,51110,춘천시, , ,소양로2가,춘천시,강원특별자치도
2017,54.0,일반,제2종근린생활, ,22.03.11,O,"11,100",19,2,2022,중개거래,강원 춘천시, ,3**,생산녹지,363,51110,춘천시, , ,동내면 고은리,춘천시,강원특별자치도
2017,44.08,집합,제1종근린생활, , , ,"22,000",11,2,2022,중개거래,강원 춘천시, ,9**,제1종일반주거, ,51110,춘천시, , ,신동면 증리,춘천시,강원특별자치도
1992,18.32,집합,업무, , , ,"11,200",4,2,2022,중개거래,강원 춘천시, ,1**,일반상업, ,51110,춘천시, , ,소양로2가,춘천시,강원특별자치도
2004,1574.28,일반,제1종근린생활, , , ,"340,000",10,3,2022,중개거래,강원 춘천시, ,7**,준주거,603.3,51110,춘천시, , ,석사동,춘천시,강원특별자치도
1999,1128.81,일반,제1종근린생활, , , ,"227,000",14,3,2022,중개거래,강원 춘천시, ,8**,준주거,610.2,51110,춘천시, , ,석사동,춘천시,강원특별자치도
1998,494.5,일반,제1종근린생활, , , ,"107,000",15,3,2022,중개거래,강원 춘천시, ,5**,보전녹지,450,51110,춘천시, , ,서면 현암리,춘천시,강원특별자치도
1998,108.72,일반,제2종근린생활, ,22.04.20,O,"35,000",30,3,2022,직거래, , ,4**,자연환경보전,1699,51110,춘천시, , ,사북면 고탄리,춘천시,강원특별자치도
2003,260.55,집합,교육연구, , , ,"55,000",30,3,2022,중개거래,강원 춘천시,4,8**,준주거, ,51110,춘천시, , ,석사동,춘천시,강원특별자치도
1999,1128.81,일반,제2종근린생활, ,22.06.27,O,"227,000",14,3,2022,중개거래,강원 춘천시, ,8**,준주거,610.2,51110,춘천시, , ,석사동,춘천시,강원특별자치도
