buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
 ,882.63,일반,제1종근린생활, , , ,"243,000",15,1,2019, , , ,2*,일반상업,218.2,26110,중구, , ,창선동2가,중구,부산광역시
 ,4.0,집합,제1종근린생활, , , ,"4,000",20,1,2019, , , ,4*,일반상업, ,26110,중구, , ,창선동2가,중구,부산광역시
 ,356.05,일반,제1종근린생활, , , ,"70,000",14,1,2019, , , ,5*,일반상업,113.1,26110,중구, , ,보수동3가,중구,부산광역시
1974,460.69,일반,제2종근린생활, , , ,"63,000",31,1,2019, , , ,2*,일반상업,40.3,26110,중구, , ,중앙동1가,중구,부산광역시
 ,7.27,집합,제1종근린생활, , , ,"1,000",28,1,2019, , , ,*,일반상업, ,26110,중구, , ,동광동1가,중구,부산광역시
1987,6.4,집합,판매, , , ,"14,000",25,1,2019, , , ,9*,일반상업, ,26110,중구, , ,남포동5가,중구,부산광역시
1997,36.35,집합,업무, , , ,"7,250",28,2,2019, , ,3,4*,일반상업, ,26110,중구, , ,부평동4가,중구,부산광역시
 ,20237.88,일반,업무, , , ,"879,315",27,2,2019, , , ,1*,일반상업,798.55,26110,중구, , ,중앙동6가,중구,부산광역시
1988,582.02,일반,제1종근린생활, , , ,"100,000",21,2,2019, , , ,2*,일반상업,188.1,26110,중구, , ,동광동3가,중구,부산광역시
2006,24216.47,일반,업무, , , ,"3,300,000",26,2,2019, , , ,2*,일반상업,1653.5,26110,중구, , ,중앙동4가,중구,부산광역시
2015,292.7,일반,제2종근린생활, , , ,"418,000",22,2,2019, , , ,*,일반상업,131.3,26110,중구, , ,광복동3가,중구,부산광역시
 ,6.61,집합,제1종근린생활, , , ,"2,000",16,2,2019, , ,2,*,일반상업, ,26110,중구, , ,동광동1가,중구,부산광역시
1976,481.66,일반,제1종근린생활, , , ,"15,000",11,2,2019, , , ,4*,일반상업,6.51,26110,중구,지분, ,창선동1가,중구,부산광역시
1997,9.27,집합,판매, , , ,"2,000",26,3,2019, , ,3,*,일반상업, ,26110,중구, , ,부평동2가,중구,부산광역시
1985,153.36,일반,제1종근린생활, , , ,"43,000",26,3,2019, , , ,5*,일반상업,66.4,26110,중구, , ,중앙동2가,중구,부산광역시
 ,42.18,일반,제2종근린생활, , , ,"20,000",11,3,2019, , , ,8*,일반상업,39.7,26110,중구, , ,대청동4가,중구,부산광역시
2014,66.25,일반,제1종근린생활, , , ,"28,000",11,3,2019, , , ,8*,일반상업,29,26110,중구, , ,대청동4가,중구,부산광역시
2013,24.0,집합,제2종근린생활, , , ,"5,700",10,3,2019, , ,8,3*,일반상업, ,26110,중구, , ,부평동4가,중구,부산광역시
2013,29.4,집합,제2종근린생활, , , ,"6,400",10,3,2019, , ,8,3*,일반상업, ,26110,중구, , ,부평동4가,중구,부산광역시
2013,30.44,집합,제2종근린생활, , , ,"6,500",10,3,2019, , ,8,3*,일반상업, ,26110,중구, , ,부평동4가,중구,부산광역시
2013,54.3,집합,제2종근린생활, , , ,"9,600",10,3,2019, , ,8,3*,일반상업, ,26110,중구, , ,부평동4가,중구,부산광역시
1976,161.05,일반,제2종근린생활, , , ,"39,000",25,3,2019, , , ,3*,일반상업,67.44,26110,중구, , ,남포동4가,중구,부산광역시
2017,96.6,일반,제1종근린생활, , , ,"52,300",9,3,2019, , , ,*,일반상업,83,26110,중구, , ,동광동5가,중구,부산광역시
2017,115.08,일반,제2종근린생활, , , ,"35,000",19,3,2019, , , ,4*,제2종일반주거,109.2,26110,중구, , ,보수동1가,중구,부산광역시
1981,1922.9,일반,업무, , , ,"340,000",20,3,2019, , , ,8*,일반상업,390.1,26110,중구, , ,중앙동4가,중구,부산광역시
1995,113.82,일반,제2종근린생활, , , ,"6,900",7,3,2019, , , ,2*,일반상업,20.2,26110,중구,지분, ,영주동,중구,부산광역시
1991,658.33,일반,제1종근린생활, , , ,"670,000",27,3,2019, , , ,5*,일반상업,221.4,26110,중구, , ,광복동1가,중구,부산광역시
1997,426.33,일반,제2종근린생활, , , ,"200,000",23,4,2019, , , ,1*,일반상업,152.3,26110,중구, , ,부평동1가,중구,부산광역시
 ,37.09,집합,제2종근린생활, , , ,"7,300",16,4,2019, , ,5,*,일반상업, ,26110,중구, , ,동광동1가,중구,부산광역시
1987,129.36,집합,제2종근린생활, , , ,"17,500",25,4,2019, , ,5,9*,일반상업, ,26110,중구, , ,남포동5가,중구,부산광역시
 ,1155.6,일반,업무, , , ,"810,000",2,4,2019, , , ,5*,일반상업,425.1,26110,중구, , ,광복동1가,중구,부산광역시
 ,6.48,집합,판매, , , ,420,30,4,2019, , , ,*,일반상업, ,26110,중구, , ,남포동6가,중구,부산광역시
 ,212.22,일반,제1종근린생활, , , ,"12,300",23,4,2019, , , ,1*,일반상업,6.77,26110,중구,지분, ,신창동4가,중구,부산광역시
1969,8.83,집합,제1종근린생활, , , ,"16,000",19,4,2019, , , ,2*,일반상업, ,26110,중구, , ,신창동4가,중구,부산광역시
1988,752.07,일반,제2종근린생활, , , ,"126,000",18,4,2019, , , ,1*,일반상업,188.4,26110,중구, , ,부평동3가,중구,부산광역시
2004,84.23,집합,업무, , , ,"37,500",16,4,2019, , ,2,2*,일반상업, ,26110,중구, , ,중앙동4가,중구,부산광역시
1969,10.08,집합,판매, , , ,"6,000",6,4,2019, , , ,2*,일반상업, ,26110,중구, , ,신창동4가,중구,부산광역시
