buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2014,130.6,집합,제2종근린생활, , , ,"46,000",29,1,2015, , ,3,*,제2종일반주거, ,36110, , , ,종촌동,세종시,세종특별자치시
2013,28.0,집합,제1종근린생활, , , ,"51,500",27,1,2015, , ,1,*,제2종일반주거, ,36110, , , ,종촌동,세종시,세종특별자치시
2014,84.4,집합,제2종근린생활, , , ,"23,761",26,1,2015, , , ,*,제2종일반주거, ,36110, , , ,아름동,세종시,세종특별자치시
1974,136.99,일반,제2종근린생활, , , ,"46,000",27,1,2015, , , ,2**,일반상업,88,36110, , , ,금남면 용포리,세종시,세종특별자치시
2014,41.8,집합,제2종근린생활, , , ,"27,875",30,1,2015, , , ,*,제2종일반주거, ,36110, , , ,도담동,세종시,세종특별자치시
2014,30.69,집합,제2종근린생활, , , ,"37,000",24,1,2015, , ,1,*,제2종일반주거, ,36110, , , ,종촌동,세종시,세종특별자치시
2013,135.34,집합,제2종근린생활, , , ,"23,500",26,1,2015, , ,-1,5**,제2종일반주거, ,36110, , , ,조치원읍 신안리,세종시,세종특별자치시
2013,75.17,집합,제2종근린생활, , , ,"13,000",26,1,2015, , ,-1,5**,제2종일반주거, ,36110, , , ,조치원읍 신안리,세종시,세종특별자치시
2014,223.24,집합,기타, , , ,"59,000",17,1,2015, , ,6,*,제2종일반주거, ,36110, , , ,도담동,세종시,세종특별자치시
2014,84.24,집합,제2종근린생활, , , ,"20,900",16,1,2015, , , ,*,제2종일반주거, ,36110, , , ,아름동,세종시,세종특별자치시
2013,51.2,집합,제1종근린생활, , , ,"50,000",4,1,2015, , , ,7**,중심상업, ,36110, , , ,나성동,세종시,세종특별자치시
2013,180.09,집합,제2종근린생활, , , ,"58,000",20,1,2015, , , ,9**,준주거, ,36110, , , ,한솔동,세종시,세종특별자치시
 ,46.0,집합,판매, , , ,"66,000",2,1,2015, , ,1,7**,중심상업, ,36110, , , ,나성동,세종시,세종특별자치시
 ,49.5,집합,제2종근린생활, , , ,"32,700",19,1,2015, , ,1,6**,제2종일반주거, ,36110, ,지분, ,종촌동,세종시,세종특별자치시
2013,65.69,집합,제2종근린생활, , , ,"79,500",2,1,2015, , , ,9**,준주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2013,39.08,집합,제2종근린생활, , , ,"47,380",2,1,2015, , , ,9**,준주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2011,46.96,집합,제2종근린생활, , , ,"45,200",2,1,2015, , ,1,9**,준주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2012,734.9,일반,제2종근린생활, , , ,"148,000",9,1,2015, , , ,4**,계획관리,735,36110, , , ,장군면 봉안리,세종시,세종특별자치시
2013,51.24,집합,제2종근린생활, , , ,"62,130",2,1,2015, , , ,9**,준주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2014,42.8,집합,제2종근린생활, , , ,"57,500",9,2,2015, , ,1,*,제2종일반주거, ,36110, , , ,아름동,세종시,세종특별자치시
2013,40.48,집합,제1종근린생활, , , ,"43,000",4,2,2015, , ,1,*,제2종일반주거, ,36110, , , ,어진동,세종시,세종특별자치시
