buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2014,48.8,집합,제1종근린생활, , , ,"30,000",29,1,2014, , , ,*,근린상업, ,36110, , , ,어진동,세종시,세종특별자치시
2014,97.6,집합,제1종근린생활, , , ,"47,000",28,1,2014, , , ,*,근린상업, ,36110, , , ,어진동,세종시,세종특별자치시
2014,158.6,집합,제1종근린생활, , , ,"75,000",21,1,2014, , , ,*,근린상업, ,36110, , , ,어진동,세종시,세종특별자치시
2014,52.36,집합,제1종근린생활, , , ,"30,000",29,1,2014, , , ,*,근린상업, ,36110, , , ,어진동,세종시,세종특별자치시
2014,213.77,집합,제1종근린생활, , , ,"139,360",21,1,2014, , , ,*,제2종일반주거, ,36110, , , ,어진동,세종시,세종특별자치시
2014,75.57,집합,제1종근린생활, , , ,"30,000",23,1,2014, , , ,*,근린상업, ,36110, , , ,어진동,세종시,세종특별자치시
2014,131.76,집합,제1종근린생활, , , ,"68,072",21,1,2014, , , ,*,제2종일반주거, ,36110, , , ,어진동,세종시,세종특별자치시
 ,279.18,일반,제2종근린생활, , , ,"10,800",23,1,2014, , , ,*,일반상업,15.54,36110, ,지분, ,조치원읍 원리,세종시,세종특별자치시
1954,161.98,일반,제2종근린생활, , , ,"45,000",23,1,2014, , , ,9*,일반상업,198,36110, , , ,조치원읍 원리,세종시,세종특별자치시
2013,668.92,일반,업무, , , ,"122,000",5,1,2014, , , ,2**,제2종일반주거,345.1,36110, , , ,조치원읍 침산리,세종시,세종특별자치시
2002,56.16,집합,제1종근린생활, , , ,"4,250",17,1,2014, , ,1,2**,계획관리, ,36110, , , ,장군면 금암리,세종시,세종특별자치시
1998,3386.55,일반,제1종근린생활, , , ,"180,000",2,1,2014, , , ,*,일반상업,287.25,36110, ,지분, ,조치원읍 원리,세종시,세종특별자치시
2012,988.52,일반,제2종근린생활, , , ,"172,000",10,1,2014, , , ,1**,제2종일반주거,421,36110, , , ,조치원읍 서창리,세종시,세종특별자치시
1996,253.2,일반,제2종근린생활, , , ,"66,500",24,2,2014, , , ,1*,자연녹지,985,36110, , , ,조치원읍 침산리,세종시,세종특별자치시
2010,99.2,일반,기타, , , ,"30,860",21,2,2014, , , ,6**,자연녹지,246,36110, , , ,연서면 월하리,세종시,세종특별자치시
 ,68.8,일반,제2종근린생활, , , ,"15,900",17,2,2014, , , ,1**,계획관리,175,36110, , , ,연서면 봉암리,세종시,세종특별자치시
2014,107.89,집합,제1종근린생활, , , ,"42,000",21,2,2014, , , ,*,근린상업, ,36110, , , ,어진동,세종시,세종특별자치시
2014,139.81,집합,제1종근린생활, , , ,"84,000",6,2,2014, , , ,*,근린상업, ,36110, , , ,어진동,세종시,세종특별자치시
2014,97.6,집합,제1종근린생활, , , ,"48,000",6,2,2014, , , ,*,근린상업, ,36110, , , ,어진동,세종시,세종특별자치시
2014,75.57,집합,제1종근린생활, , , ,"29,000",6,2,2014, , , ,*,근린상업, ,36110, , , ,어진동,세종시,세종특별자치시
2013,487.62,일반,제2종근린생활, , , ,"107,000",25,2,2014, , , ,3**,계획관리,488,36110, , , ,장군면 봉안리,세종시,세종특별자치시
1993,332.96,일반,제2종근린생활, , , ,"55,000",7,2,2014, , , ,2*,계획관리,1275,36110, , , ,소정면 운당리,세종시,세종특별자치시
2008,447.56,일반,제2종근린생활, , , ,"65,000",24,3,2014, , , ,2**,제2종일반주거,478.6,36110, , , ,조치원읍 침산리,세종시,세종특별자치시
1979,360.08,일반,제2종근린생활, , , ,"54,500",20,3,2014, , , ,2**,제2종일반주거,304,36110, , , ,전의면 읍내리,세종시,세종특별자치시
1925,116.03,일반,판매, , , ,"20,000",3,3,2014, , , ,2**,제2종일반주거,212,36110, , , ,전의면 읍내리,세종시,세종특별자치시
2013,176.2,일반,제2종근린생활, , , ,"38,500",17,3,2014, , , ,1***,생산녹지,288.11,36110, , , ,부강면 부강리,세종시,세종특별자치시
1994,122.4,일반,제1종근린생활, , , ,"37,600",4,3,2014, , , ,1**,일반상업,155,36110, , , ,금남면 용포리,세종시,세종특별자치시
 ,58.3,집합,제2종근린생활, , , ,"17,700",12,3,2014, , , ,3**,제2종일반주거, ,36110, , , ,조치원읍 신흥리,세종시,세종특별자치시
2000,198.0,일반,제2종근린생활, , , ,"35,000",31,3,2014, , , ,1**,생산관리,660,36110, , , ,연서면 고복리,세종시,세종특별자치시
1997,162.3,일반,제2종근린생활, , , ,"12,000",18,3,2014, , , ,1**,계획관리,208,36110, , , ,연서면 고복리,세종시,세종특별자치시
2008,430.26,일반,제1종근린생활, , , ,"26,000",4,3,2014, , , ,1**,계획관리,740,36110, , , ,전의면 동교리,세종시,세종특별자치시
2008,35.28,집합,제2종근린생활, , , ,"15,000",9,3,2014, , ,1,3**,제2종일반주거, ,36110, , , ,조치원읍 신흥리,세종시,세종특별자치시
1994,874.06,일반,제1종근린생활, , , ,"62,000",6,3,2014, , , ,3**,제1종일반주거,807,36110, , , ,전의면 읍내리,세종시,세종특별자치시
2013,34.1,집합,판매, , , ,"43,600",12,3,2014, , , ,*,제2종일반주거, ,36110, , , ,아름동,세종시,세종특별자치시
 ,59.59,집합,제1종근린생활, , , ,"83,563",6,3,2014, , ,1,7**,제2종일반주거, ,36110, , , ,나성동,세종시,세종특별자치시
 ,19.44,집합,제1종근린생활, , , ,"20,000",6,3,2014, , ,1,7**,제2종일반주거, ,36110, , , ,나성동,세종시,세종특별자치시
2008,117.04,집합,업무, , , ,"20,471",4,3,2014, , ,4,2*,준주거, ,36110, , , ,조치원읍 교리,세종시,세종특별자치시
2008,37.98,집합,제1종근린생활, , , ,"6,642",4,3,2014, , ,4,2*,준주거, ,36110, , , ,조치원읍 교리,세종시,세종특별자치시
2008,938.41,집합,제1종근린생활, , , ,"169,544",4,3,2014, , ,5,2*,준주거, ,36110, , , ,조치원읍 교리,세종시,세종특별자치시
2008,478.16,집합,제1종근린생활, , , ,"73,343",4,3,2014, , ,6,2*,준주거, ,36110, , , ,조치원읍 교리,세종시,세종특별자치시
2004,292.0,일반,숙박, , , ,"54,350",15,4,2014, , , ,4**,자연환경보전,580.0,36110, , , ,연서면 고복리,세종시,세종특별자치시
2004,292.0,일반,숙박, , , ,"55,650",15,4,2014, , , ,4**,자연환경보전,594.0,36110, , , ,연서면 고복리,세종시,세종특별자치시
1970,137.94,일반,제1종근린생활, , , ,"40,000",15,4,2014, , , ,*,일반상업,74.0,36110, , , ,조치원읍 원리,세종시,세종특별자치시
1989,72.96,일반,제1종근린생활, , , ,"17,000",16,4,2014, , , ,1*,준주거,200.7,36110, , , ,조치원읍 교리,세종시,세종특별자치시
2001,192.76,일반,제2종근린생활, , , ,"26,400",3,4,2014, , , ,3**,자연녹지,501.0,36110, , , ,조치원읍 신흥리,세종시,세종특별자치시
2007,84.0,일반,제2종근린생활, , , ,"17,500",30,5,2014, , , ,2**,제2종일반주거,143,36110, , , ,조치원읍 침산리,세종시,세종특별자치시
1998,62.99,집합,제2종근린생활, , , ,"15,500",20,5,2014, , ,1,5*,준주거, ,36110, , , ,조치원읍 정리,세종시,세종특별자치시
2014,481.11,일반,제1종근린생활, , , ,"108,200",15,5,2014, , , ,6**,계획관리,566,36110, , , ,연서면 봉암리,세종시,세종특별자치시
2006,140.4,일반,제2종근린생활, , , ,"35,000",24,6,2014, , , ,2**,제2종일반주거,240.8,36110, , , ,조치원읍 침산리,세종시,세종특별자치시
