buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
2014,70.0,일반,제2종근린생활, , , ,"31,350",23,1,2018, , , ,6**,자연녹지,340,36110, , , ,연서면 월하리,세종시,세종특별자치시
2008,110.0,일반,제2종근린생활, , , ,"38,000",8,1,2018, , , ,2**,제2종일반주거,273.1,36110, , , ,조치원읍 침산리,세종시,세종특별자치시
2014,372.79,일반,제2종근린생활, , , ,"158,000",19,1,2018, , , ,1**,계획관리,744,36110, , , ,장군면 은용리,세종시,세종특별자치시
2005,165.0,일반,제1종근린생활, , , ,"70,000",20,1,2018, , , ,9**,계획관리,992,36110, , , ,부강면 문곡리,세종시,세종특별자치시
2015,108.98,집합,제1종근린생활, , , ,"49,000",6,1,2018, , ,2,1***,근린상업, ,36110, , , ,고운동,세종시,세종특별자치시
2015,67.9,집합,제2종근린생활, , , ,"16,900",18,1,2018, , ,7,1***,근린상업, ,36110, , , ,고운동,세종시,세종특별자치시
2015,453.4,일반,제1종근린생활, , , ,"230,000",6,1,2018, , , ,3**,계획관리,571,36110, , , ,장군면 봉안리,세종시,세종특별자치시
2012,23.56,집합,제2종근린생활, , , ,"20,000",20,1,2018, , ,1,9**,제2종일반주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2014,84.24,집합,판매, , , ,"36,500",14,1,2018, , , ,1***,근린상업, ,36110, , , ,아름동,세종시,세종특별자치시
2016,290.0,일반,제1종근린생활, , , ,"78,500",29,1,2018, , , ,2**,계획관리,739,36110, , , ,장군면 봉안리,세종시,세종특별자치시
2014,84.24,집합,판매, , , ,"36,500",14,1,2018, , , ,1***,근린상업, ,36110, , , ,아름동,세종시,세종특별자치시
 ,46.2,집합,제2종근린생활, , , ,"20,308",30,1,2018, , ,1,6**,일반상업, ,36110, ,지분, ,도담동,세종시,세종특별자치시
 ,90.87,집합,제2종근린생활, , , ,"42,240",30,1,2018, , ,1,6**,일반상업, ,36110, ,지분, ,도담동,세종시,세종특별자치시
2015,32.18,집합,제2종근린생활, , , ,"40,000",20,1,2018, , ,1,1***,제2종일반주거, ,36110, , , ,고운동,세종시,세종특별자치시
2014,84.4,집합,제1종근린생활, , , ,"22,500",20,1,2018, , ,4,1***,근린상업, ,36110, , , ,아름동,세종시,세종특별자치시
2013,450.12,일반,제1종근린생활, , , ,"148,000",23,1,2018, , , ,4**,일반상업,636,36110, , , ,부강면 부강리,세종시,세종특별자치시
2011,61.87,집합,제2종근린생활, , , ,"29,500",10,1,2018, , ,1,9**,준주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2011,357.65,일반,제2종근린생활, , , ,"80,000",2,1,2018, , , ,8**,제2종일반주거,604,36110, , , ,연서면 월하리,세종시,세종특별자치시
2012,36.96,집합,제1종근린생활, , , ,"33,500",13,1,2018, , , ,9**,제2종일반주거, ,36110, , , ,한솔동,세종시,세종특별자치시
2016,44.13,집합,제1종근린생활, , , ,"68,298",10,1,2018, , ,1,1***,일반상업, ,36110, , , ,아름동,세종시,세종특별자치시
2014,42.12,집합,판매, , , ,"69,000",16,1,2018, , , ,1***,근린상업, ,36110, , , ,아름동,세종시,세종특별자치시
2014,49.68,집합,판매, , , ,"83,000",16,1,2018, , , ,1***,근린상업, ,36110, , , ,아름동,세종시,세종특별자치시
1984,749.52,일반,제2종근린생활, , , ,"16,000",3,1,2018, , , ,1**,일반상업,56.2,36110, ,지분, ,조치원읍 원리,세종시,세종특별자치시
1996,297.0,일반,제2종근린생활, , , ,"55,000",8,1,2018, , , ,7*,자연녹지,496,36110, , , ,조치원읍 서창리,세종시,세종특별자치시
1989,32.1,집합,제2종근린생활, , , ,"14,000",25,2,2018, , ,1,7*,제2종일반주거, ,36110, , , ,조치원읍 번암리,세종시,세종특별자치시
1995,644.1,일반,제2종근린생활, , , ,"107,800",8,2,2018, , , ,6**,자연녹지,584,36110, , , ,연서면 월하리,세종시,세종특별자치시
2001,108.0,집합,제1종근린생활, , , ,"30,000",10,2,2018, , ,1,2**,계획관리, ,36110, , , ,연동면 명학리,세종시,세종특별자치시
2014,144.0,일반,제2종근린생활, , , ,"36,560",9,2,2018, , , ,2**,계획관리,725,36110, , , ,소정면 고등리,세종시,세종특별자치시
2015,493.79,일반,제2종근린생활, , , ,"190,000",6,2,2018, , , ,1***,제1종전용주거,346.6,36110, , , ,아름동,세종시,세종특별자치시
2014,426.9,일반,제2종근린생활, , , ,"192,000",5,2,2018, , , ,3**,계획관리,536,36110, , , ,장군면 봉안리,세종시,세종특별자치시
2014,40.59,집합,제1종근린생활, , , ,"48,000",28,2,2018, , ,1,6**,일반상업, ,36110, , , ,도담동,세종시,세종특별자치시
1986,516.16,일반,제1종근린생활, , , ,"95,000",26,2,2018, , , ,9*,준주거,170,36110, , , ,조치원읍 정리,세종시,세종특별자치시
2005,180.03,일반,제2종근린생활, , , ,"58,900",3,2,2018, , , ,2*,계획관리,845,36110, , , ,금남면 영곡리,세종시,세종특별자치시
