buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
 ,35.7,집합,제2종근린생활,개인, , ,"9,020",25,1,2024,중개거래,제주 제주시,1,1278-1,제2종일반주거, ,50110,제주시, ,개인,노형동,제주시,제주특별자치도
 ,61.6,집합,제2종근린생활,개인, , ,"15,450",25,1,2024,중개거래,제주 제주시,1,1278-1,제2종일반주거, ,50110,제주시, ,개인,노형동,제주시,제주특별자치도
2016,25.38,집합,숙박,개인, , ,"9,000",29,1,2024,직거래, ,3,6092-10,근린상업, ,50110,제주시, ,개인,아라일동,제주시,제주특별자치도
2016,25.71,집합,숙박,개인, , ,"9,500",31,1,2024,중개거래,제주 제주시,8,6092-10,근린상업, ,50110,제주시, ,개인,아라일동,제주시,제주특별자치도
1995,11.88,집합,제1종근린생활,개인, , ,"2,000",17,1,2024,직거래, ,1,290-51,제2종일반주거, ,50110,제주시, ,개인,연동,제주시,제주특별자치도
1995,114.3,일반,제2종근린생활,개인, , ,"15,000",29,1,2024,직거래, , ,1***,계획관리,161,50110,제주시, ,개인,한경면 저지리,제주시,제주특별자치도
1992,77.58,집합,제1종근린생활,개인, , ,"10,000",29,1,2024,중개거래,제주 제주시, ,1023,제2종일반주거, ,50110,제주시, ,개인,이호이동,제주시,제주특별자치도
1979,150.0,일반,제1종근린생활,개인,24.04.23,O,"30,000",15,1,2024,중개거래,제주 제주시, ,1***,준주거,135,50110,제주시,지분,법인,애월읍 하귀2리,제주시,제주특별자치도
2006,33.11,집합,제1종근린생활,개인, , ,"4,500",25,1,2024,중개거래,제주 제주시,1,1275-11,제2종일반주거, ,50110,제주시, ,개인,노형동,제주시,제주특별자치도
2017,19.95,집합,숙박,개인, , ,"7,800",18,1,2024,중개거래,제주 제주시,11,1787-3,일반상업, ,50110,제주시, ,개인,이도일동,제주시,제주특별자치도
2013,41.27,집합,숙박,개인, , ,"2,700",16,1,2024,직거래, ,2,954-1,자연녹지, ,50110,제주시,지분,법인,조천읍 함덕리,제주시,제주특별자치도
1983,207.2,일반,기타,개인, , ,"38,000",13,1,2024,중개거래,제주 제주시, ,8**,일반상업,150,50110,제주시, ,개인,삼도이동,제주시,제주특별자치도
1997,78.66,집합,제1종근린생활,개인, , ,"32,500",26,1,2024,중개거래,제주 제주시,1,1284-5,제2종일반주거, ,50110,제주시, ,개인,노형동,제주시,제주특별자치도
2017,25.14,집합,숙박,법인, , ,"6,000",25,1,2024,직거래, ,6,263-13,일반상업, ,50110,제주시, ,법인,연동,제주시,제주특별자치도
2017,26.86,집합,숙박,개인, , ,"7,100",31,1,2024,중개거래,제주 제주시,6,251-46,일반상업, ,50110,제주시, ,개인,연동,제주시,제주특별자치도
1993,2167.62,일반,숙박,개인, , ,"105,000",24,1,2024,직거래, , ,2**,일반상업,103.31,50110,제주시,지분,개인,연동,제주시,제주특별자치도
1954,53.4,일반,제2종근린생활,개인, , ,"35,000",2,1,2024,직거래, , ,2***,제2종일반주거,300,50110,제주시, ,개인,한경면 두모리,제주시,제주특별자치도
2005,146.65,집합,숙박,개인, , ,"9,900",30,1,2024,직거래, ,10,52-3,계획관리, ,50110,제주시,지분,개인,애월읍 봉성리,제주시,제주특별자치도
2011,109.96,집합,숙박,법인, , ,"57,000",29,1,2024,중개거래,제주 제주시,7,2838,자연녹지, ,50110,제주시, ,개인,한림읍 협재리,제주시,제주특별자치도
2004,57.56,집합,숙박,법인, , ,"2,900",25,1,2024,직거래, ,4,274,자연녹지, ,50110,제주시,지분,개인,조천읍 함덕리,제주시,제주특별자치도
1998,69.3,집합,숙박,개인, , ,"2,100",25,1,2024,직거래, ,30,3861,자연녹지, ,50110,제주시,지분,개인,한림읍 귀덕리,제주시,제주특별자치도
2021,580.67,일반,제2종근린생활,개인, , ,"166,000",26,1,2024,직거래, , ,5**,계획관리,1594,50110,제주시, ,개인,조천읍 교래리,제주시,제주특별자치도
2003,52.03,집합,제2종근린생활,법인, , ,780,18,1,2024,직거래, ,3,3-16,계획관리, ,50110,제주시,지분,개인,회천동,제주시,제주특별자치도
2003,52.03,집합,제2종근린생활,법인, , ,945,19,1,2024,직거래, ,3,3-16,계획관리, ,50110,제주시,지분,법인,회천동,제주시,제주특별자치도
2018,26.63,집합,제2종근린생활,개인, , ,"11,950",18,1,2024,중개거래,제주 제주시,6,273-27,일반상업, ,50110,제주시, ,법인,연동,제주시,제주특별자치도
1994,79.28,집합,제1종근린생활,개인, , ,"8,000",25,1,2024,직거래, ,1,701-13,제2종일반주거, ,50110,제주시, ,개인,삼도일동,제주시,제주특별자치도
2018,25.13,집합,숙박,개인, , ,"10,500",26,1,2024,중개거래,제주 제주시,8,917-6,일반상업, ,50110,제주시, ,개인,노형동,제주시,제주특별자치도
2000,35.7,집합,제2종근린생활,개인, , ,"9,020",25,1,2024,직거래, ,1,1278-1,제2종일반주거, ,50110,제주시, ,개인,노형동,제주시,제주특별자치도
2000,61.6,집합,제2종근린생활,개인, , ,"15,450",25,1,2024,직거래, ,1,1278-1,제2종일반주거, ,50110,제주시, ,개인,노형동,제주시,제주특별자치도
1992,15.95,집합,제1종근린생활,법인, , ,740,25,1,2024,중개거래,서울 중구,2,272-33,일반상업, ,50110,제주시, ,개인,연동,제주시,제주특별자치도
1992,15.77,집합,제1종근린생활,법인, , ,660,25,1,2024,중개거래,서울 중구,3,272-33,일반상업, ,50110,제주시, ,개인,연동,제주시,제주특별자치도
1992,10.8,집합,제1종근린생활,법인, , ,440,25,1,2024,중개거래,서울 중구, ,272-33,일반상업, ,50110,제주시, ,개인,연동,제주시,제주특별자치도
1992,27.32,집합,제1종근린생활,법인, , ,"1,050",25,1,2024,중개거래,서울 중구, ,272-33,일반상업, ,50110,제주시, ,개인,연동,제주시,제주특별자치도
1992,27.32,집합,제1종근린생활,법인, , ,"1,050",25,1,2024,중개거래,서울 중구, ,272-33,일반상업, ,50110,제주시, ,개인,연동,제주시,제주특별자치도
1992,10.8,집합,제1종근린생활,법인, , ,450,25,1,2024,중개거래,서울 중구, ,272-33,일반상업, ,50110,제주시, ,개인,연동,제주시,제주특별자치도
2017,22.78,집합,숙박,개인, , ,"6,700",24,1,2024,중개거래,제주 제주시,9,1787-3,일반상업, ,50110,제주시, ,개인,이도일동,제주시,제주특별자치도
2023,327.03,집합,제1종근린생활,법인, , ,"130,675",4,1,2024,직거래, ,8,315-21,준주거, ,50110,제주시, ,법인,이도이동,제주시,제주특별자치도
2023,66.55,집합,숙박,개인, , ,"39,084",24,1,2024,직거래, ,2,217,계획관리, ,50110,제주시, ,개인,애월읍 광령리,제주시,제주특별자치도
2023,66.55,집합,숙박,개인, , ,"39,084",24,1,2024,직거래, ,3,217,계획관리, ,50110,제주시, ,개인,애월읍 광령리,제주시,제주특별자치도
2023,66.55,집합,숙박,개인, , ,"35,234",24,1,2024,직거래, ,4,217,계획관리, ,50110,제주시, ,개인,애월읍 광령리,제주시,제주특별자치도
2011,110.91,집합,숙박,개인, , ,"56,500",23,1,2024,중개거래,제주 제주시,3,2838,자연녹지, ,50110,제주시, ,개인,한림읍 협재리,제주시,제주특별자치도
2001,213.3,일반,제2종근린생활,개인, , ,"64,300",15,1,2024,중개거래,제주 제주시, ,2***,자연녹지,1135,50110,제주시, ,개인,조천읍 함덕리,제주시,제주특별자치도
2017,145.5,집합,제1종근린생활,개인, , ,"59,000",10,1,2024,중개거래,제주 제주시,1,416-7,일반상업, ,50110,제주시, ,개인,일도이동,제주시,제주특별자치도
2010,110.88,집합,숙박,개인, , ,"1,150",17,1,2024,직거래, ,13,10-14,자연녹지, ,50110,제주시,지분,개인,오등동,제주시,제주특별자치도
 ,29.75,일반,제1종근린생활,개인, , ,"13,000",3,1,2024,중개거래,제주 제주시, ,9**,제2종일반주거,53,50110,제주시, ,개인,건입동,제주시,제주특별자치도
1996,235.22,집합,제2종근린생활,개인,24.05.24,O,"30,000",19,1,2024,직거래, ,2,1014,제2종일반주거, ,50110,제주시, ,개인,이도이동,제주시,제주특별자치도
2017,23.49,집합,숙박,개인, , ,"9,500",18,1,2024,직거래, ,18,260-13,일반상업, ,50110,제주시, ,개인,연동,제주시,제주특별자치도
2008,15.0,일반,제1종근린생활,법인, , ,"26,100",18,1,2024,직거래, , ,5*,계획관리,2678,50110,제주시, ,법인,한경면 판포리,제주시,제주특별자치도
2008,60.0,일반,제1종근린생활,법인, , ,"21,800",18,1,2024,직거래, , ,8**,계획관리,2698,50110,제주시, ,법인,한경면 고산리,제주시,제주특별자치도
2008,15.0,일반,제1종근린생활,법인, , ,"13,500",18,1,2024,직거래, , ,8**,계획관리,1699,50110,제주시, ,법인,한경면 고산리,제주시,제주특별자치도
2007,146.8,집합,숙박,법인, , ,"19,800",4,1,2024,직거래, ,1,5160-1,계획관리, ,50110,제주시,지분,법인,구좌읍 김녕리,제주시,제주특별자치도
