buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm,시군구명,시도명
 ,75.58,일반,제1종근린생활, , , ,"86,552",25,1,2017, , , ,1***,제2종일반주거,128.3,50110,제주시, , ,노형동,제주시,제주특별자치도
2011,164.91,집합,숙박, , , ,"66,500",31,1,2017, , ,4,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2013,42.24,집합,숙박, , , ,"2,535",20,1,2017, , ,1,9**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
2013,42.24,집합,숙박, , , ,"1,468",20,1,2017, , ,5,9**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
2013,42.24,집합,숙박, , , ,"1,961",20,1,2017, , ,5,9**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
2013,659.65,일반,숙박, , , ,"213,680",25,1,2017, , , ,1***,계획관리,2426,50110,제주시, , ,애월읍 유수암리,제주시,제주특별자치도
1996,75.58,일반,제1종근린생활, , , ,"86,552",25,1,2017, , , ,1***,제2종일반주거,128.3,50110,제주시, , ,노형동,제주시,제주특별자치도
1985,197.96,일반,제1종근린생활, , , ,"50,000",15,1,2017, , , ,1***,일반상업,50,50110,제주시, , ,한림읍 한림리,제주시,제주특별자치도
2004,98.62,집합,숙박, , , ,"10,814",18,1,2017, , ,3,2**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
1995,197.76,일반,제1종근린생활, , , ,"20,000",22,1,2017, , , ,1***,제2종일반주거,165.9,50110,제주시, , ,이도이동,제주시,제주특별자치도
2013,659.65,일반,숙박, , , ,"213,680",25,1,2017, , , ,1***,계획관리,2426,50110,제주시, , ,애월읍 유수암리,제주시,제주특별자치도
2000,643.68,일반,제2종근린생활, , , ,"151,000",13,1,2017, , , ,7*,제2종일반주거,322.4,50110,제주시, , ,도남동,제주시,제주특별자치도
2000,643.68,일반,제2종근린생활, , , ,"151,000",13,1,2017, , , ,7*,제2종일반주거,322.4,50110,제주시, , ,도남동,제주시,제주특별자치도
1991,2585.77,일반,제2종근린생활, , , ,"350,000",11,1,2017, , , ,1***,일반상업,1044.6,50110,제주시, , ,이도일동,제주시,제주특별자치도
1989,145.07,일반,제2종근린생활, , , ,"40,000",16,1,2017, , , ,1***,제2종일반주거,405,50110,제주시, , ,한림읍 한림리,제주시,제주특별자치도
2009,361.58,집합,제1종근린생활, , , ,"43,024",5,1,2017, , ,3,1***,제2종일반주거, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2009,361.28,집합,제1종근린생활, , , ,"61,976",5,1,2017, , ,3,1***,제2종일반주거, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2010,42.84,집합,제1종근린생활, , , ,"30,000",13,1,2017, , ,1,1**,제2종일반주거, ,50110,제주시, , ,애월읍 하귀1리,제주시,제주특별자치도
1982,185.39,일반,제1종근린생활, , , ,"60,000",25,1,2017, , , ,2**,일반상업,248,50110,제주시, , ,삼도이동,제주시,제주특별자치도
2011,164.91,집합,숙박, , , ,"65,000",20,1,2017, , , ,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2011,119.91,집합,숙박, , , ,"45,000",5,1,2017, , ,1,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2004,33.18,집합,숙박, , , ,650,20,1,2017, , ,4,2**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
2015,146.9,집합,제2종근린생활, , , ,"73,000",18,1,2017, , ,2,7**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2013,60.59,집합,숙박, , , ,"2,600",24,1,2017, , ,5,9**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
2004,29.99,집합,숙박, , , ,"4,500",25,1,2017, , ,2,5**,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2016,124.46,집합,제1종근린생활, , , ,"26,000",13,1,2017, , ,1,3**,준주거, ,50110,제주시, , ,일도이동,제주시,제주특별자치도
2010,51.75,집합,숙박, , , ,700,18,1,2017, , ,13,1*,자연녹지, ,50110,제주시,지분, ,오등동,제주시,제주특별자치도
2011,164.91,집합,숙박, , , ,"55,110",23,1,2017, , ,6,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2004,57.56,집합,숙박, , , ,"2,273",18,1,2017, , ,5,2**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
1992,143.76,집합,제2종근린생활, , , ,"18,000",24,1,2017, , ,1,3**,준주거, ,50110,제주시,지분, ,일도이동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,350",19,1,2017, , ,16,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,100",19,1,2017, , ,10,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,000",19,1,2017, , ,8,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,300",19,1,2017, , ,15,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,000",19,1,2017, , ,8,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,350",19,1,2017, , ,16,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2016,25.71,집합,숙박, , , ,"11,850",19,1,2017, , ,8,6***,근린상업, ,50110,제주시, , ,아라일동,제주시,제주특별자치도
2016,25.71,집합,숙박, , , ,"11,850",20,1,2017, , ,8,6***,근린상업, ,50110,제주시, , ,아라일동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,450",19,1,2017, , ,18,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,200",19,1,2017, , ,12,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,500",19,1,2017, , ,19,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,200",19,1,2017, , ,12,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,350",19,1,2017, , ,16,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,300",19,1,2017, , ,15,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,250",19,1,2017, , ,13,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"8,950",19,1,2017, , ,7,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,300",19,1,2017, , ,15,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,350",19,1,2017, , ,16,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,600",19,1,2017, , ,17,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
1995,35.0,집합,제1종근린생활, , , ,"8,850",5,1,2017, , ,1,4**,제2종일반주거, ,50110,제주시, , ,이도이동,제주시,제주특별자치도
1995,34.75,집합,제1종근린생활, , , ,"8,850",5,1,2017, , ,1,4**,제2종일반주거, ,50110,제주시, , ,이도이동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,600",19,1,2017, , ,17,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,000",19,1,2017, , ,8,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"8,850",19,1,2017, , ,5,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,300",19,1,2017, , ,15,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,000",19,1,2017, , ,3,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,100",19,1,2017, , ,10,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,150",19,1,2017, , ,11,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,150",19,1,2017, , ,11,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,200",19,1,2017, , ,12,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,250",19,1,2017, , ,13,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,250",19,1,2017, , ,13,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2017,22.5,집합,숙박, , , ,"9,000",19,1,2017, , ,8,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2016,25.38,집합,제1종근린생활, , , ,"10,585",23,1,2017, , ,6,6***,근린상업, ,50110,제주시, , ,아라일동,제주시,제주특별자치도
2010,51.75,집합,숙박, , , ,650,13,1,2017, , ,12,1*,자연녹지, ,50110,제주시,지분, ,오등동,제주시,제주특별자치도
2016,25.06,집합,숙박, , , ,"11,250",3,1,2017, , ,2,6***,근린상업, ,50110,제주시, , ,아라일동,제주시,제주특별자치도
2016,57.24,집합,제2종근린생활, , , ,"7,606",18,1,2017, , ,2,2***,제2종일반주거, ,50110,제주시, , ,삼양이동,제주시,제주특별자치도
1995,45.33,집합,숙박, , , ,300,13,1,2017, , ,6,2***,일반상업, ,50110,제주시,지분, ,한림읍 금능리,제주시,제주특별자치도
2015,22.76,집합,숙박, , , ,"11,300",18,1,2017, , ,7,9**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2000,119.63,일반,제1종근린생활, , , ,"39,000",18,1,2017, , , ,1***,일반상업,248,50110,제주시, , ,일도일동,제주시,제주특별자치도
2006,30.42,집합,숙박, , , ,200,17,1,2017, , ,1,1***,자연녹지, ,50110,제주시,지분, ,한림읍 금능리,제주시,제주특별자치도
2011,108.3,집합,숙박, , , ,"57,174",9,1,2017, , ,1,산3*,계획관리, ,50110,제주시, , ,한림읍 금악리,제주시,제주특별자치도
2011,108.3,집합,숙박, , , ,"59,901",16,1,2017, , ,1,산3*,계획관리, ,50110,제주시, , ,한림읍 금악리,제주시,제주특별자치도
2011,133.23,집합,숙박, , , ,"52,800",17,1,2017, , ,5,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
 ,164.91,집합,숙박, , , ,"33,400",17,1,2017, , ,7,2***,자연녹지, ,50110,제주시,지분, ,한림읍 협재리,제주시,제주특별자치도
2013,60.59,집합,숙박, , , ,"2,400",10,1,2017, , ,3,9**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
1990,30.75,집합,업무, , , ,"5,000",12,1,2017, , , ,9**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2016,22.41,집합,숙박, , , ,"7,000",3,1,2017, , ,3,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2016,69.0,집합,업무, , , ,"19,766",12,1,2017, , ,8,2***,준주거, ,50110,제주시, , ,삼양이동,제주시,제주특별자치도
2004,20.14,집합,업무, , , ,"8,500",4,1,2017, , ,10,7**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2016,22.41,집합,숙박, , , ,"7,000",3,1,2017, , ,5,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2015,22.76,집합,숙박, , , ,"9,400",11,1,2017, , ,13,9**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
2003,29.19,집합,업무, , , ,"4,300",12,1,2017, , ,7,3**,준주거, ,50110,제주시, , ,연동,제주시,제주특별자치도
2011,133.23,집합,숙박, , , ,"48,436",10,1,2017, , ,6,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2016,22.41,집합,숙박, , , ,"7,000",3,1,2017, , ,2,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2016,22.41,집합,숙박, , , ,"7,000",3,1,2017, , ,2,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2011,119.91,집합,숙박, , , ,"45,000",10,1,2017, , , ,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2016,22.41,집합,숙박, , , ,"7,000",9,1,2017, , ,7,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
1992,16.2,집합,제1종근린생활, , , ,"5,000",10,1,2017, , , ,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2016,22.41,집합,숙박, , , ,"7,000",3,1,2017, , ,5,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2016,24.85,집합,숙박, , , ,"7,000",3,1,2017, , ,6,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
2016,22.41,집합,숙박, , , ,"7,000",3,1,2017, , ,6,2**,일반상업, ,50110,제주시, , ,연동,제주시,제주특별자치도
1986,60.0,일반,제1종근린생활, , , ,"4,000",2,1,2017, , , ,7**,계획관리,108,50110,제주시, , ,추자면 묵리,제주시,제주특별자치도
1989,1293.68,일반,제1종근린생활, , , ,"345,000",10,2,2017, , , ,2**,일반상업,462.6,50110,제주시, , ,연동,제주시,제주특별자치도
2013,60.59,집합,숙박, , , ,"2,617",20,2,2017, , ,1,9**,자연녹지, ,50110,제주시,지분, ,조천읍 함덕리,제주시,제주특별자치도
1999,326.42,일반,제1종근린생활, , , ,"46,159",13,2,2017, , , ,5**,생산관리,1394,50110,제주시, , ,조천읍 교래리,제주시,제주특별자치도
1991,137.03,집합,제2종근린생활, , , ,"25,650",7,2,2017, , , ,9**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
1991,143.32,집합,제2종근린생활, , , ,"26,840",7,2,2017, , , ,9**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
1991,143.32,집합,제2종근린생활, , , ,"26,840",7,2,2017, , , ,9**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
1991,40.95,집합,제2종근린생활, , , ,"7,670",7,2,2017, , , ,9**,일반상업, ,50110,제주시, , ,노형동,제주시,제주특별자치도
1995,493.86,일반,업무, , , ,"90,000",6,2,2017, , , ,1***,제2종일반주거,225.2,50110,제주시, , ,이도이동,제주시,제주특별자치도
2012,96.04,집합,제2종근린생활, , , ,"13,000",24,2,2017, , , ,9**,자연녹지, ,50110,제주시, , ,아라이동,제주시,제주특별자치도
1992,55.7,집합,제2종근린생활, , , ,"10,391",24,2,2017, , , ,2**,제2종일반주거, ,50110,제주시, , ,연동,제주시,제주특별자치도
1992,59.82,집합,제1종근린생활, , , ,"11,119",24,2,2017, , , ,2**,제2종일반주거, ,50110,제주시, , ,연동,제주시,제주특별자치도
1992,81.44,집합,제2종근린생활, , , ,"13,214",24,2,2017, , , ,2**,제2종일반주거, ,50110,제주시, , ,연동,제주시,제주특별자치도
2011,164.91,집합,숙박, , , ,"63,000",27,2,2017, , ,5,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
1995,147.7,일반,제2종근린생활, , , ,"32,000",2,2,2017, , , ,1***,계획관리,289,50110,제주시, , ,조천읍 대흘리,제주시,제주특별자치도
1968,277.69,일반,제2종근린생활, , , ,"30,000",17,2,2017, , , ,2***,제2종일반주거,975,50110,제주시, , ,한경면 고산리,제주시,제주특별자치도
1968,277.69,일반,제2종근린생활, , , ,"30,000",17,2,2017, , , ,2***,제2종일반주거,975,50110,제주시, , ,한경면 고산리,제주시,제주특별자치도
2012,96.04,집합,제2종근린생활, , , ,"13,000",24,2,2017, , , ,9**,자연녹지, ,50110,제주시, , ,아라이동,제주시,제주특별자치도
1984,481.18,일반,제2종근린생활, , , ,"90,000",22,2,2017, , , ,1***,일반상업,165,50110,제주시, , ,삼도이동,제주시,제주특별자치도
2002,56.0,집합,숙박, , , ,300,6,2,2017, , ,21,2***,계획관리, ,50110,제주시,지분, ,애월읍 애월리,제주시,제주특별자치도
2006,7.02,집합,판매, , , ,"7,360",14,2,2017, , ,1,1***,일반상업, ,50110,제주시, , ,이도이동,제주시,제주특별자치도
2006,13.26,집합,판매, , , ,"13,903",14,2,2017, , ,1,1***,일반상업, ,50110,제주시, , ,이도이동,제주시,제주특별자치도
2006,7.02,집합,판매, , , ,"7,360",14,2,2017, , ,1,1***,일반상업, ,50110,제주시, , ,이도이동,제주시,제주특별자치도
2006,18.48,집합,판매, , , ,"19,376",14,2,2017, , ,1,1***,일반상업, ,50110,제주시, , ,이도이동,제주시,제주특별자치도
1998,77.21,집합,제1종근린생활, , , ,"18,500",16,2,2017, , ,1,3**,제1종일반주거, ,50110,제주시, , ,연동,제주시,제주특별자치도
 ,69.3,집합,숙박, , , ,"1,524",28,2,2017, , ,30,3***,자연녹지, ,50110,제주시,지분, ,한림읍 귀덕리,제주시,제주특별자치도
2011,135.07,집합,숙박, , , ,"53,900",13,2,2017, , ,3,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2006,598.63,일반,기타, , , ,"140,000",27,2,2017, , , ,1***,자연녹지,992,50110,제주시, , ,노형동,제주시,제주특별자치도
2016,162.36,일반,제1종근린생활, , , ,"55,000",20,2,2017, , , ,2***,계획관리,418,50110,제주시, , ,한경면 저지리,제주시,제주특별자치도
2003,101.92,집합,제2종근린생활, , , ,"15,500",22,2,2017, , ,4,5**,일반상업, ,50110,제주시, , ,삼도일동,제주시,제주특별자치도
2011,144.16,집합,숙박, , , ,"50,000",20,2,2017, , ,1,2***,자연녹지, ,50110,제주시, , ,한림읍 협재리,제주시,제주특별자치도
2008,385.44,일반,제2종근린생활, , , ,"40,000",25,2,2017, , , ,2***,자연녹지,992,50110,제주시, , ,노형동,제주시,제주특별자치도
